time,open,high,low,close,volumefrom,volumeto,fiat
2021-02-15 05:00:00,46899.47,47018.02,46447.7,46785.84,2033.4,95039597.54,USD
2021-02-15 06:00:00,46785.84,47175.63,46735.64,46944.63,1957.15,91949499.72,USD
2021-02-15 07:00:00,46944.63,47412.59,46875.6,47302.46,2655.99,125505687.82,USD
2021-02-15 08:00:00,47302.46,47770.4,47150.51,47640.68,1716.71,81480752.25,USD
2021-02-15 09:00:00,47640.68,47751.71,47272.37,47533.77,1304.32,62009395.75,USD
2021-02-15 10:00:00,47533.77,47877.19,47342.23,47861.47,1133.11,53941834.25,USD
2021-02-15 11:00:00,47861.47,48012.98,47666.97,47816.54,1189.07,56911600.99,USD
2021-02-15 12:00:00,47816.54,48076.27,47454.09,47987.16,1480.88,70660176.59,USD
2021-02-15 13:00:00,47987.16,48240.79,47862.8,47997.75,1292.2,62096534.32,USD
2021-02-15 14:00:00,47997.75,48167.8,47508.17,47576.54,1270.33,60779215.35,USD
2021-02-15 15:00:00,47576.54,48014.42,47576.54,47996.15,1077.24,51540454.03,USD
2021-02-15 16:00:00,47996.15,48556.77,47981.36,48508.56,1836.36,88823698.43,USD
2021-02-15 17:00:00,48508.56,48794.85,48428.9,48548.93,1493.6,72673851.16,USD
2021-02-15 18:00:00,48548.93,48686.35,48402.12,48402.33,974.8,47305865.79,USD
2021-02-15 19:00:00,48402.33,48737.16,48362.7,48677.87,804.53,39091726.63,USD
2021-02-15 20:00:00,48677.87,48789.78,48504.53,48592.37,922.1,44885344.62,USD
2021-02-15 21:00:00,48592.37,48741.4,48151.11,48182.49,1356.78,65713663.55,USD
2021-02-15 22:00:00,48182.49,48324.97,47667.94,48316.42,1889.34,90729377.98,USD
2021-02-15 23:00:00,48316.42,48428.76,47854.95,47936.51,1436.66,69242962.36,USD
2021-02-16 00:00:00,47936.51,47965.66,47068.63,47698.38,3000.95,142704649.24,USD
2021-02-16 01:00:00,47698.38,48300.24,47637.61,48291.42,1388.81,66697412.68,USD
2021-02-16 02:00:00,48291.42,48655.88,48185.95,48461.02,1374.34,66581941.0,USD
2021-02-16 03:00:00,48461.02,49594.33,48419.97,49578.99,6375.46,313921840.27,USD
2021-02-16 04:00:00,49578.99,49927.02,49090.74,49353.05,4935.32,244716569.51,USD
2021-02-16 05:00:00,49353.05,49474.08,49017.33,49170.43,1502.24,73943465.24,USD
2021-02-16 06:00:00,49170.43,49217.82,48590.17,49007.0,1842.45,90023998.13,USD
2021-02-16 07:00:00,49007.0,49272.55,48632.43,49173.12,1395.12,68296528.32,USD
2021-02-16 08:00:00,49173.12,49319.72,48909.78,49291.09,1007.72,49506677.28,USD
2021-02-16 09:00:00,49291.09,49323.63,48919.52,49295.33,997.55,49026936.9,USD
