id,symbol,partner_symbol,data_available_from
683927,DRG,DRG,2017-12-08 00:00:00
355702,DRGN,DRGN,2017-12-01 00:00:00
820902,DROP,DROP,2018-01-19 00:00:00
763535,DRPU,DRPU,2017-11-28 00:00:00
311829,DRT,DRT,2017-10-18 00:00:00
788387,DTH,DTH,2018-02-06 00:00:00
360063,DTR,DTR,2017-11-30 00:00:00
764096,DTRC,DTRC,2018-02-02 00:00:00
713947,DTX,DTX,2018-03-18 00:00:00
765943,DXT,DXT,2018-02-05 00:00:00
324012,EARTH,EARTH,2018-03-16 00:00:00
692707,EBC,EBC,2018-06-04 00:00:00
321189,EBTC,EBTC,2017-10-29 00:00:00
355117,ECASH,ECASH,2017-10-10 00:00:00
344337,ECHT,ECHT,2018-03-21 00:00:00
925260,ECOM,ECOM,2018-02-23 00:00:00
929289,ECTE,ECTE,2019-01-08 00:00:00
55676,EDG,EDG,2017-02-28 00:00:00
927930,EDN,EDN,2018-09-16 00:00:00
310297,EDO,EDO,2017-10-02 00:00:00
878068,EDU,EDU,2018-05-25 00:00:00
918374,EGCC,EGCC,2018-02-01 00:00:00
916728,EGT,EGT,2018-05-26 00:00:00
704135,EKO,EKO,2017-11-21 00:00:00
930837,EKT,EKT,2017-12-23 00:00:00
836445,ELEC,ELEC,2018-02-20 00:00:00
571314,ELF,ELF,2017-12-18 00:00:00
801531,ELI,ELI,2018-04-16 00:00:00
360657,ELITE,ELITE,2017-10-06 00:00:00
321177,ELIX,ELIX,2017-09-02 00:00:00
438867,ELTCOIN,ELTCOIN,2017-10-09 00:00:00
897502,ELY,ELY,2018-04-24 00:00:00
388076,EMPH,EPY,2017-10-30 00:00:00
927975,ENGT,ENGT,2018-04-19 00:00:00
283116,ENJ,ENJ,2017-10-02 00:00:00
24307,ENTER,ENTRC,2018-09-02 00:00:00
855289,EOSDAC,EOSDAC,2018-03-03 00:00:00
30883,EQUAL,EQL,2017-12-19 00:00:00
597540,ERC20,ERC20,2018-03-22 00:00:00
771092,ERIS,ERT,2017-12-07 00:00:00
439579,ERO,ERO,2017-10-09 00:00:00
842171,ESS,ESS,2018-06-24 00:00:00
925216,EST,EST,2018-01-26 00:00:00
920927,ESZ,ESZ,2018-01-16 00:00:00
188394,ETBS,ETBS,2017-08-22 00:00:00
5324,ETC,ETC,2015-08-07 00:00:00
347450,ETG,ETG,2017-10-11 00:00:00
929734,ETGP,ETGP,2018-11-05 00:00:00
7605,ETH,ETH,2015-08-07 00:00:00
860990,ETHM,ETHM,2017-12-27 00:00:00
141464,ETHOS,ETHOS,2017-06-27 00:00:00
385960,ETK,ETK,2017-11-24 00:00:00
361881,ETN,ETN,2017-11-12 00:00:00
925249,EURS,EURS,2018-06-22 00:00:00
308072,EVC,EVC,2017-08-30 00:00:00
719223,EVE,EVE,2018-01-18 00:00:00
929820,EVED,EVED,2018-08-28 00:00:00
340966,EVR,EVR,2017-08-29 00:00:00
194883,EVX,EVX,2017-09-29 00:00:00
899574,EXC,EXC,2018-04-22 00:00:00
767755,EXMR,EXMR,2017-10-13 00:00:00
710098,EXRN,EXRN,2017-10-09 00:00:00
388493,EXY,EXY,2018-02-24 00:00:00
892684,FACE,FACE,2018-04-06 00:00:00
732098,FAIRG,FAIR,2017-12-28 00:00:00
929891,FAT,FAT,2018-04-02 00:00:00
777557,FDX,FDX,2017-10-30 00:00:00
848819,FDZ,FDZ,2018-02-14 00:00:00
929174,FET,FET,2018-10-08 00:00:00
329562,FLIK,FLIK,2017-08-17 00:00:00
408849,FLIXX,FLIXX,2017-10-24 00:00:00
654118,FLOT,FLOT,2017-12-11 00:00:00
844476,FLUZ,FLUZ,2018-02-01 00:00:00
180840,FND,FND,2018-02-08 00:00:00
453943,FNTB,FNTB,2018-02-05 00:00:00
927955,FOAM,FOAM,2018-07-28 00:00:00
729627,FOTA,FOTA,2018-01-21 00:00:00
832078,FOXT,FOXT,2018-03-12 00:00:00
918380,FREC,FREC,2018-02-26 00:00:00
922632,FREE,FREE,2018-04-05 00:00:00
768219,FSN,FSN,2018-01-31 00:00:00
901870,FT,FT,2018-02-15 00:00:00
928158,FTM,FTM,2018-06-15 00:00:00
927948,FTT,FTT,2018-08-10 00:00:00
856962,FTX,FTX,2018-03-15 00:00:00
292748,FUEL,FUEL,2017-09-22 00:00:00
178978,FUN,FUN,2017-07-07 00:00:00
925527,FUNDZ,FUNDZ,2018-02-24 00:00:00
888262,FXT,FXT,2018-01-13 00:00:00
464920,FYP,FYP,2017-09-28 00:00:00
924800,GAMB,GMB,2018-11-19 00:00:00
928399,GARD,GARD,2018-05-04 00:00:00
870119,GEM,GEM,2018-02-16 00:00:00
600395,GENE,GENE,2018-01-16 00:00:00
843576,GENS,GEN,2018-05-02 00:00:00
920794,GETX,GETX,2017-10-13 00:00:00
66193,GNO,GNO,2017-04-18 00:00:00
33022,GNT,GNT,2016-11-11 00:00:00
619375,GNX,GNX,2017-09-27 00:00:00
787620,GOOD,GOOD,2017-06-21 00:00:00
385907,GRID,GRID,2017-10-22 00:00:00
902463,GRMD,GRMD,2017-10-25 00:00:00
439136,GRX,GRX,2017-10-13 00:00:00
